id,key,value,type
33679443,lanes,3,regular
33679443,oneway,yes,regular
33679443,highway,motorway,regular
33679444,lanes,3,regular
33679444,layer,2,regular
33679444,bridge,yes,regular
33679444,oneway,yes,regular
33679444,highway,motorway,regular
33679500,name,巨龍大道,regular
33679500,oneway,yes,regular
33679500,source,GPS,regular
33679500,highway,primary,regular
33679505,highway,tertiary,regular
33679750,waterway,canal,regular
33679755,waterway,canal,regular
33679779,name,蔡甸大街,regular
33679779,oneway,yes,regular
33679779,highway,primary,regular
33679790,highway,secondary,regular
33679837,waterway,canal,regular
33679838,waterway,canal,regular
33679884,source,Lakewalker / Landsat,regular
33680055,lit,yes,regular
33680055,name,汉阳大道,regular
33680055,oneway,yes,regular
33680055,source,Yahoo hires,regular
33680055,highway,primary,regular
33680611,ref,G50,regular
33680611,name,沪渝高速,regular
33680611,lanes,2,regular
33680611,oneway,yes,regular
33680611,highway,motorway,regular
33680611,en,Huyu Expressway,name
38802508,name,京广铁路,regular
38802508,gauge,1435,regular
38802508,usage,main,regular
38802508,railway,rail,regular
38802508,voltage,25000,regular
38802508,frequency,50,regular
38802508,electrified,contact_line,regular
38802600,gauge,1435,regular
38802600,layer,1,regular
38802600,usage,main,regular
38802600,bridge,yes,regular
38802600,railway,rail,regular
38802600,voltage,25000,regular
38802600,frequency,50,regular
38802600,electrified,contact_line,regular
38802641,gauge,1435,regular
38802641,usage,main,regular
38802641,railway,rail,regular
38802641,voltage,25000,regular
38802641,frequency,50,regular
38802641,electrified,contact_line,regular
38802644,gauge,1435,regular
38802644,usage,main,regular
38802644,railway,rail,regular
38802644,voltage,25000,regular
38802644,frequency,50,regular
38802644,electrified,contact_line,regular
38802647,name,京广铁路,regular
38802647,gauge,1435,regular
38802647,usage,main,regular
38802647,source,Yahoo hires,regular
38802647,railway,rail,regular
38802647,voltage,25000,regular
38802647,frequency,50,regular
38802647,electrified,contact_line,regular
38802658,boat,yes,regular
38802658,waterway,river,regular
41383340,oneway,yes,regular
41383340,highway,primary_link,regular
41383345,lanes,3,regular
41383345,oneway,yes,regular
41383345,highway,primary_link,regular
41383348,name,中山路,regular
41383348,oneway,yes,regular
41383348,highway,primary,regular
42723385,natural,water,regular
42723385,waterway,riverbank,regular
42723432,natural,water,regular
42723432,waterway,riverbank,regular
42723541,natural,water,regular
42723541,waterway,riverbank,regular
42849978,oneway,yes,regular
42849978,source,satellite,regular
42849978,highway,trunk,regular
45510911,gauge,1435,regular
45510911,usage,main,regular
45510911,railway,rail,regular
45510911,voltage,25000,regular
45510911,frequency,50,regular
45510911,electrified,contact_line,regular
45511773,bridge,yes,regular
45511773,railway,rail,regular
45511774,gauge,1435,regular
45511774,layer,2,regular
45511774,bridge,yes,regular
45511774,railway,rail,regular
45511774,service,yard,regular
45511774,voltage,25000,regular
45511774,frequency,50,regular
45511774,electrified,contact_line,regular
45511775,gauge,1435,regular
45511775,railway,rail,regular
45511775,service,yard,regular
45511775,voltage,25000,regular
45511775,frequency,50,regular
45511775,electrified,contact_line,regular
45629781,gauge,1435,regular
45629781,usage,main,regular
45629781,railway,rail,regular
45629781,voltage,25000,regular
45629781,maxspeed,350,regular
45629781,frequency,50,regular
45629781,highspeed,yes,regular
45629781,electrified,contact_line,regular
45629781,traffic_mode,passenger,railway
45711624,name,京广铁路,regular
45711624,gauge,1435,regular
45711624,railway,rail,regular
45711627,name,京广铁路,regular
45711627,gauge,1435,regular
45711627,railway,rail,regular
45711628,gauge,1435,regular
45711628,railway,rail,regular
45711634,gauge,1435,regular
45711634,railway,rail,regular
45711635,name,京广铁路,regular
45711635,gauge,1435,regular
45711635,railway,rail,regular
45891128,name,创业四路,regular
45891128,source,satellite,regular
45891128,highway,residential,regular
45891128,en,Chuangye 4th Road,name
45891128,zh,创业四路,name
45891128,zh_pinyin,ChuangYeSiLu,name
45891129,highway,secondary,regular
45891130,railway,rail,regular
45891136,railway,rail,regular
46518342,name,东湖东路,regular
46518342,highway,tertiary,regular
46736242,lit,yes,regular
46736242,name,东一路,regular
